Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2022-04-01,2022-04-01,2022-04-01,,0,,http://reference.data.gov.uk/id/day/2022-04-01
2022-04-02,2022-04-02,2022-04-02,,1,,http://reference.data.gov.uk/id/day/2022-04-02
2022-04-03,2022-04-03,2022-04-03,,2,,http://reference.data.gov.uk/id/day/2022-04-03
2022-04-04,2022-04-04,2022-04-04,,3,,http://reference.data.gov.uk/id/day/2022-04-04
2022-04-05,2022-04-05,2022-04-05,,4,,http://reference.data.gov.uk/id/day/2022-04-05
2022-04-06,2022-04-06,2022-04-06,,5,,http://reference.data.gov.uk/id/day/2022-04-06
2022-04-07,2022-04-07,2022-04-07,,6,,http://reference.data.gov.uk/id/day/2022-04-07
2022-04-08,2022-04-08,2022-04-08,,7,,http://reference.data.gov.uk/id/day/2022-04-08
2022-04-09,2022-04-09,2022-04-09,,8,,http://reference.data.gov.uk/id/day/2022-04-09
2022-04-10,2022-04-10,2022-04-10,,9,,http://reference.data.gov.uk/id/day/2022-04-10
2022-04-11,2022-04-11,2022-04-11,,10,,http://reference.data.gov.uk/id/day/2022-04-11
2022-04-12,2022-04-12,2022-04-12,,11,,http://reference.data.gov.uk/id/day/2022-04-12
2022-04-13,2022-04-13,2022-04-13,,12,,http://reference.data.gov.uk/id/day/2022-04-13
2022-04-14,2022-04-14,2022-04-14,,13,,http://reference.data.gov.uk/id/day/2022-04-14
2022-04-15,2022-04-15,2022-04-15,,14,,http://reference.data.gov.uk/id/day/2022-04-15
2022-04-16,2022-04-16,2022-04-16,,15,,http://reference.data.gov.uk/id/day/2022-04-16
2022-04-17,2022-04-17,2022-04-17,,16,,http://reference.data.gov.uk/id/day/2022-04-17
2022-04-18,2022-04-18,2022-04-18,,17,,http://reference.data.gov.uk/id/day/2022-04-18
2022-04-19,2022-04-19,2022-04-19,,18,,http://reference.data.gov.uk/id/day/2022-04-19
2022-04-20,2022-04-20,2022-04-20,,19,,http://reference.data.gov.uk/id/day/2022-04-20
2022-04-21,2022-04-21,2022-04-21,,20,,http://reference.data.gov.uk/id/day/2022-04-21
2022-04-22,2022-04-22,2022-04-22,,21,,http://reference.data.gov.uk/id/day/2022-04-22
2022-04-23,2022-04-23,2022-04-23,,22,,http://reference.data.gov.uk/id/day/2022-04-23
2022-04-24,2022-04-24,2022-04-24,,23,,http://reference.data.gov.uk/id/day/2022-04-24
2022-04-25,2022-04-25,2022-04-25,,24,,http://reference.data.gov.uk/id/day/2022-04-25
2022-04-26,2022-04-26,2022-04-26,,25,,http://reference.data.gov.uk/id/day/2022-04-26
2022-04-27,2022-04-27,2022-04-27,,26,,http://reference.data.gov.uk/id/day/2022-04-27
2022-04-28,2022-04-28,2022-04-28,,27,,http://reference.data.gov.uk/id/day/2022-04-28
2022-04-29,2022-04-29,2022-04-29,,28,,http://reference.data.gov.uk/id/day/2022-04-29
2022-04-30,2022-04-30,2022-04-30,,29,,http://reference.data.gov.uk/id/day/2022-04-30
2022-05-01,2022-05-01,2022-05-01,,30,,http://reference.data.gov.uk/id/day/2022-05-01
2022-05-02,2022-05-02,2022-05-02,,31,,http://reference.data.gov.uk/id/day/2022-05-02
2022-05-03,2022-05-03,2022-05-03,,32,,http://reference.data.gov.uk/id/day/2022-05-03
2022-05-04,2022-05-04,2022-05-04,,33,,http://reference.data.gov.uk/id/day/2022-05-04
2022-05-05,2022-05-05,2022-05-05,,34,,http://reference.data.gov.uk/id/day/2022-05-05
2022-05-06,2022-05-06,2022-05-06,,35,,http://reference.data.gov.uk/id/day/2022-05-06
2022-05-07,2022-05-07,2022-05-07,,36,,http://reference.data.gov.uk/id/day/2022-05-07
2022-05-08,2022-05-08,2022-05-08,,37,,http://reference.data.gov.uk/id/day/2022-05-08
2022-05-09,2022-05-09,2022-05-09,,38,,http://reference.data.gov.uk/id/day/2022-05-09
2022-05-10,2022-05-10,2022-05-10,,39,,http://reference.data.gov.uk/id/day/2022-05-10
2022-05-11,2022-05-11,2022-05-11,,40,,http://reference.data.gov.uk/id/day/2022-05-11
2022-05-12,2022-05-12,2022-05-12,,41,,http://reference.data.gov.uk/id/day/2022-05-12
2022-05-13,2022-05-13,2022-05-13,,42,,http://reference.data.gov.uk/id/day/2022-05-13
2022-05-14,2022-05-14,2022-05-14,,43,,http://reference.data.gov.uk/id/day/2022-05-14
2022-05-15,2022-05-15,2022-05-15,,44,,http://reference.data.gov.uk/id/day/2022-05-15
2022-05-16,2022-05-16,2022-05-16,,45,,http://reference.data.gov.uk/id/day/2022-05-16
2022-05-17,2022-05-17,2022-05-17,,46,,http://reference.data.gov.uk/id/day/2022-05-17
2022-05-18,2022-05-18,2022-05-18,,47,,http://reference.data.gov.uk/id/day/2022-05-18
2022-05-19,2022-05-19,2022-05-19,,48,,http://reference.data.gov.uk/id/day/2022-05-19
2022-05-20,2022-05-20,2022-05-20,,49,,http://reference.data.gov.uk/id/day/2022-05-20
2022-05-21,2022-05-21,2022-05-21,,50,,http://reference.data.gov.uk/id/day/2022-05-21
2022-05-22,2022-05-22,2022-05-22,,51,,http://reference.data.gov.uk/id/day/2022-05-22
2022-05-23,2022-05-23,2022-05-23,,52,,http://reference.data.gov.uk/id/day/2022-05-23
2022-05-24,2022-05-24,2022-05-24,,53,,http://reference.data.gov.uk/id/day/2022-05-24
2022-05-25,2022-05-25,2022-05-25,,54,,http://reference.data.gov.uk/id/day/2022-05-25
2022-05-26,2022-05-26,2022-05-26,,55,,http://reference.data.gov.uk/id/day/2022-05-26
2022-05-27,2022-05-27,2022-05-27,,56,,http://reference.data.gov.uk/id/day/2022-05-27
2022-05-28,2022-05-28,2022-05-28,,57,,http://reference.data.gov.uk/id/day/2022-05-28
2022-05-29,2022-05-29,2022-05-29,,58,,http://reference.data.gov.uk/id/day/2022-05-29
2022-05-30,2022-05-30,2022-05-30,,59,,http://reference.data.gov.uk/id/day/2022-05-30
2022-05-31,2022-05-31,2022-05-31,,60,,http://reference.data.gov.uk/id/day/2022-05-31
2022-06-01,2022-06-01,2022-06-01,,61,,http://reference.data.gov.uk/id/day/2022-06-01
2022-06-02,2022-06-02,2022-06-02,,62,,http://reference.data.gov.uk/id/day/2022-06-02
2022-06-03,2022-06-03,2022-06-03,,63,,http://reference.data.gov.uk/id/day/2022-06-03
2022-06-04,2022-06-04,2022-06-04,,64,,http://reference.data.gov.uk/id/day/2022-06-04
2022-06-05,2022-06-05,2022-06-05,,65,,http://reference.data.gov.uk/id/day/2022-06-05
