Date,Day of week,Base,ONS_code,Type of tasking,Tasking location,Tasking outcome,Region,Duration,Latitude,Longitude
2022-04-01,Friday,Humberside,E06000011,Rescue/Recovery,Coast,Supported & Completed,East Midlands,2.0,53.4939666666666,0.126983333333333
2022-04-01,Friday,Stornoway,S12000033,Rescue/Recovery,Land,Terminated on Scene,Highlands and Islands,1.0,58.4835,-6.25818333333333
2022-04-02,Saturday,Inverness,S12000027,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,3.0,57.2023333333333,-5.15466666666666
2022-04-02,Saturday,Inverness,S12000027,Support,Land,Terminated En Route,Highlands and Islands,1.0,56.7971666666666,-5.014
2022-04-02,Saturday,Lee On Solent,E04012176,Rescue/Recovery,Coast,Terminated on Scene,South East,2.0,50.7333333333333,0.233333333333333
2022-04-02,Saturday,Lee On Solent,E04012176,Search Only,Maritime,Supported & Completed,South East,12.0,50.5675,1.10566666666666
2022-04-02,Saturday,Lydd,E04004358,Rescue/Recovery,Maritime,Supported & Completed,South East,2.0,50.8133333333333,0.875
2022-04-02,Saturday,Lydd,E04004358,Search Only,Maritime,Supported & Completed,South East,5.0,50.5675,1.10566666666666
2022-04-02,Saturday,Newquay,E06000052,Pre-arranged Transfer,Coast,Supported & Completed,South West,2.0,49.91366666666665,-6.29408333333333
2022-04-02,Saturday,Newquay,E06000052,Rescue/Recovery,Coast,Supported & Completed,South West,3.0,50.1621666666666,-5.70458333333333
2022-04-02,Saturday,Prestwick,S12000028,Search Only,Coast,Supported & Completed,Eastern Scotland,2.0,56.1766666666666,-3.01333333333333
2022-04-02,Saturday,Stornoway,S12000033,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,4.0,60.3166666666666,-4.275
2022-04-02,Saturday,Sumburgh,S12000017,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,4.0,60.33111111111106,-4.200555555555553
2022-04-03,Sunday,Lydd,E04004358,Search Only,Maritime,Supported & Completed,South East,9.0,50.0678333333333,1.159
2022-04-03,Sunday,Prestwick,S12000028,Support,Coast,Supported & Completed,Eastern Scotland,1.0,56.0578333333333,-3.24766666666666
2022-04-03,Sunday,St Athan,W06000015,Search Only,Maritime,Supported & Completed,Wales,1.0,51.8,-5.64166666666666
2022-04-03,Sunday,Sumburgh,S12000017,Rescue/Recovery,Maritime,Supported & Completed,Highlands and Islands,3.0,60.9435,-1.1985
2022-04-04,Monday,Inverness,S12000027,Search Only,Coast,Supported & Completed,North Eastern Scotland,2.0,57.6816666666666,-1.915
2022-04-04,Monday,Lydd,E04004358,Rescue/Recovery,Land,Supported & Completed,South East,3.0,51.1343333333333,1.353
2022-04-04,Monday,Lydd,E04004358,Support,Maritime,Terminated Prior to Launch,South East,0.0,51.4653333333333,2.35833333333333
2022-04-04,Monday,Newquay,E06000052,Search Only,Maritime,Supported & Completed,Wales,4.0,51.45,-6.11666666666666
2022-04-04,Monday,Prestwick,S12000028,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,3.0,56.4996666666666,-6.86883333333333
2022-04-04,Monday,Prestwick,S12000028,Search Only,Land,Terminated Prior to Launch,Eastern Scotland,1.0,56.0033333333333,-2.81666666666666
2022-04-04,Monday,St Athan,W06000015,Search Only,Land,Supported & Completed,Wales,2.0,51.6173333333333,-3.01666666666666
2022-04-04,Monday,St Athan,W06000015,Search Only,Maritime,Supported & Completed,Wales,8.0,51.45,-6.11666666666666
2022-04-04,Monday,Stornoway,S12000033,Support,Land,Supported & Completed,Highlands and Islands,0.0,56.4996333333333,-6.86886666666666
2022-04-05,Tuesday,Caernarfon,W06000002,Rescue/Recovery,Land,Supported & Completed,North West,3.0,54.1503333333333,-3.20333333333333
2022-04-05,Tuesday,Caernarfon,W06000002,Support,Coast,Cancelled,Wales,0.0,53.3058333333333,-3.54866666666666
2022-04-05,Tuesday,Inverness,S12000027,Rescue/Recovery,Land,Supported & Completed,Highlands and Islands,3.0,58.1683333333333,-4.6945
2022-04-05,Tuesday,Lee On Solent,E04012176,Support,Land,Terminated on Scene,London,1.0,51.6676666666666,-0.133666666666666
2022-04-05,Tuesday,Lydd,E04004358,Rescue/Recovery,Coast,Supported & Completed,South East,1.0,50.7373333333333,0.247666666666666
2022-04-05,Tuesday,Lydd,E04004358,Support,Coast,Supported & Completed,South East,1.0,50.7383666666666,0.2463
2022-04-05,Tuesday,Newquay,E06000052,Pre-arranged Transfer,Coast,Supported & Completed,South West,3.0,49.9133333333333,-6.29316666666666
2022-04-05,Tuesday,Prestwick,S12000028,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,7.0,58.4586666666666,-3.095
2022-04-05,Tuesday,Stornoway,S12000033,Pre-arranged Transfer,Land,Supported & Completed,Highlands and Islands,5.0,57.4738333333333,-7.372
2022-04-05,Tuesday,Stornoway,S12000033,Search Only,Coast,Terminated on Scene,Highlands and Islands,3.0,58.49,-5.12233333333333
2022-04-06,Wednesday,Caernarfon,W06000002,Support,Land,Supported & Completed,Wales,2.0,53.0625,-3.1355
2022-04-07,Thursday,Lee On Solent,E04012176,Pre-arranged Transfer,Land,Supported & Completed,South East,2.0,50.6938333333333,-1.28766666666666
2022-04-07,Thursday,Lee On Solent,E04012176,Pre-arranged Transfer,Land,Supported & Completed,South West,4.0,49.4338333333333,-2.60516666666666
2022-04-07,Thursday,Lydd,E04004358,Search Only,Coast,Supported & Completed,South East,2.0,50.7386666666666,0.220333333333333
2022-04-07,Thursday,Newquay,E06000052,Rescue/Recovery,Coast,Supported & Completed,South West,2.0,49.8914833333333,-6.3484
2022-04-08,Friday,Caernarfon,W06000002,Support,Land,Terminated on Scene,North West,3.0,54.3328333333333,-3.37016666666666
